sample_id,farmer,shd,fert,thinning,bean_id,bn_weight,bn_diam,plot_type,plot_thin
1,Fernando,shade,high,0,1,248.6,6.7,high shade,high shade 0
1,Fernando,shade,high,0,2,125.3,6.2,high shade,high shade 0
1,Fernando,shade,high,0,3,141.7,5.3,high shade,high shade 0
1,Fernando,shade,high,0,4,158.2,6.9,high shade,high shade 0
1,Fernando,shade,high,0,5,170.2,6.6,high shade,high shade 0
1,Fernando,shade,high,0,6,106.9,6.3,high shade,high shade 0
1,Fernando,shade,high,0,7,119.8,7.1,high shade,high shade 0
1,Fernando,shade,high,0,8,142.2,6.2,high shade,high shade 0
1,Fernando,shade,high,0,9,188.7,5.9,high shade,high shade 0
1,Fernando,shade,high,0,10,167.4,5.8,high shade,high shade 0
1,Fernando,shade,high,0,11,162.1,6.5,high shade,high shade 0
1,Fernando,shade,high,0,12,140.7,7.1,high shade,high shade 0
1,Fernando,shade,high,0,13,142.2,6.7,high shade,high shade 0
1,Fernando,shade,high,0,14,148.9,5.5,high shade,high shade 0
1,Fernando,shade,high,0,15,114.2,5.3,high shade,high shade 0
1,Fernando,shade,high,0,16,140.1,5.5,high shade,high shade 0
1,Fernando,shade,high,0,17,146.8,6.6,high shade,high shade 0
1,Fernando,shade,high,0,18,123.5,5.4,high shade,high shade 0
1,Fernando,shade,high,0,19,137.5,5.4,high shade,high shade 0
1,Fernando,shade,high,0,20,173,6.4,high shade,high shade 0
1,Fernando,shade,high,0,21,171.9,6,high shade,high shade 0
1,Fernando,shade,high,0,22,107.1,6.2,high shade,high shade 0
1,Fernando,shade,high,0,23,164.8,5.5,high shade,high shade 0
1,Fernando,shade,high,0,24,150.6,5.2,high shade,high shade 0
1,Fernando,shade,high,0,25,108.7,6.1,high shade,high shade 0
1,Fernando,shade,high,0,26,136.5,5.7,high shade,high shade 0
1,Fernando,shade,high,0,27,157.1,6.8,high shade,high shade 0
1,Fernando,shade,high,0,28,122,6.4,high shade,high shade 0
1,Fernando,shade,high,0,29,145.7,5.8,high shade,high shade 0
1,Fernando,shade,high,0,30,180.4,6.9,high shade,high shade 0
1,Fernando,shade,high,0,31,171.2,6.6,high shade,high shade 0
1,Fernando,shade,high,0,32,158.7,6.7,high shade,high shade 0
1,Fernando,shade,high,0,33,121.8,5.4,high shade,high shade 0
1,Fernando,shade,high,0,34,183.4,6.6,high shade,high shade 0
1,Fernando,shade,high,0,35,154.1,6.6,high shade,high shade 0
1,Fernando,shade,high,0,36,127.7,6.9,high shade,high shade 0
1,Fernando,shade,high,0,37,136.6,6.3,high shade,high shade 0
1,Fernando,shade,high,0,38,133.6,6.8,high shade,high shade 0
1,Fernando,shade,high,0,39,120.6,6.2,high shade,high shade 0
1,Fernando,shade,high,0,40,150.2,6.8,high shade,high shade 0
1,Fernando,shade,high,0,41,127.6,6.6,high shade,high shade 0
1,Fernando,shade,high,0,42,144.7,6.7,high shade,high shade 0
